epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.534,1.94935,2.78822,2.03596,0.81199,0.13125,0.16952,0.0567,2.43952,3.35863,2.52819,0.000331845,0.000331845,0.0671473
2,257.841,1.85035,2.34107,1.95538,0.41381,0.35477,0.30073,0.11437,2.3537,2.24299,2.30996,0.000643228,0.000643228,0.0341254
3,367.654,1.78094,2.21626,1.91565,0.40527,0.41536,0.35928,0.14897,2.10745,2.19391,2.16413,0.00093261,0.00093261,0.00108142
4,479.422,1.77831,2.14687,1.88469,0.38633,0.42611,0.34058,0.1366,2.23889,2.32215,2.17922,0.000901,0.000901,0.000901
5,588.339,1.71926,2.04487,1.83837,0.61511,0.50475,0.51303,0.21682,1.99624,1.85507,1.98858,0.000868,0.000868,0.000868
6,699.099,1.68356,1.94787,1.7884,0.53941,0.49702,0.49072,0.2238,1.93038,1.84206,1.92833,0.000835,0.000835,0.000835
7,810.186,1.6601,1.89034,1.77047,0.62216,0.50078,0.5269,0.22261,1.98887,1.73468,1.92093,0.000802,0.000802,0.000802
8,922.034,1.62196,1.82059,1.72788,0.65549,0.56284,0.61848,0.29663,1.79107,1.53266,1.77205,0.000769,0.000769,0.000769
9,1033.34,1.60691,1.77755,1.71118,0.67034,0.5869,0.62938,0.28823,1.80069,1.53306,1.76225,0.000736,0.000736,0.000736
10,1144.43,1.58979,1.77737,1.70829,0.67343,0.56799,0.59901,0.29783,1.72746,1.55894,1.74129,0.000703,0.000703,0.000703
11,1254.26,1.57727,1.7255,1.67699,0.70038,0.61115,0.63831,0.32201,1.75841,1.46958,1.75636,0.00067,0.00067,0.00067
12,1367.42,1.55147,1.69896,1.67884,0.64767,0.62142,0.643,0.30699,1.77606,1.47166,1.73129,0.000637,0.000637,0.000637
13,1480.94,1.53129,1.66717,1.65546,0.69706,0.59705,0.64942,0.3515,1.63575,1.44376,1.67586,0.000604,0.000604,0.000604
14,1592.89,1.51365,1.62177,1.62592,0.69987,0.64145,0.68751,0.33536,1.73047,1.39611,1.72371,0.000571,0.000571,0.000571
15,1703.06,1.50071,1.61078,1.62316,0.70439,0.6509,0.66404,0.33427,1.71529,1.37863,1.72974,0.000538,0.000538,0.000538
16,1810.7,1.49406,1.55737,1.60763,0.70363,0.61741,0.68797,0.36228,1.59737,1.37879,1.63194,0.000505,0.000505,0.000505
17,1920.29,1.47698,1.52982,1.5911,0.75666,0.6361,0.71541,0.37894,1.59991,1.30544,1.62017,0.000472,0.000472,0.000472
18,2028.88,1.46578,1.53891,1.59147,0.73941,0.66294,0.72087,0.38546,1.58597,1.28781,1.62547,0.000439,0.000439,0.000439
19,2138.4,1.46156,1.53533,1.58495,0.77765,0.66149,0.73583,0.39464,1.55057,1.23791,1.60747,0.000406,0.000406,0.000406
20,2246.66,1.44221,1.48884,1.56938,0.74204,0.64689,0.71391,0.38365,1.5868,1.3061,1.6159,0.000373,0.000373,0.000373
21,2346.15,1.36987,1.26144,1.57496,0.70331,0.6774,0.69747,0.36732,1.64532,1.27415,1.6154,0.00034,0.00034,0.00034
22,2443.44,1.33578,1.16446,1.53665,0.75166,0.69344,0.7391,0.39586,1.59993,1.20513,1.58176,0.000307,0.000307,0.000307
23,2540.72,1.31365,1.11285,1.50416,0.76255,0.71425,0.76203,0.41561,1.51964,1.16184,1.56589,0.000274,0.000274,0.000274
24,2637.92,1.30615,1.07578,1.50126,0.77684,0.6992,0.7616,0.42145,1.53275,1.14007,1.54541,0.000241,0.000241,0.000241
25,2735.81,1.26772,1.03699,1.47378,0.77094,0.71322,0.7535,0.40154,1.5931,1.13003,1.56758,0.000208,0.000208,0.000208
26,2835.14,1.2513,1.01848,1.45353,0.78465,0.72868,0.78796,0.43526,1.51106,1.08511,1.53156,0.000175,0.000175,0.000175
27,2933.43,1.2403,0.99038,1.44584,0.8087,0.73871,0.8016,0.44627,1.491,1.04486,1.51203,0.000142,0.000142,0.000142
28,3029.1,1.21369,0.9663,1.4314,0.8125,0.71835,0.79438,0.45542,1.44932,1.04032,1.50093,0.000109,0.000109,0.000109
29,3126.3,1.2033,0.95151,1.42013,0.79711,0.75505,0.80194,0.46354,1.44851,1.01704,1.49356,7.6e-05,7.6e-05,7.6e-05
30,3223.24,1.19156,0.93077,1.41387,0.81725,0.75351,0.81037,0.46989,1.44033,0.98968,1.48217,4.3e-05,4.3e-05,4.3e-05
